date,open,high,low,close,volume
8/18/1977,0.9274,0.9296,0.9226,0.9226,2302400
8/19/1977,0.9226,0.9226,0.8947,0.8995,5358400
8/22/1977,0.8995,0.904,0.8971,0.9017,3795200
8/23/1977,0.9017,0.9157,0.9017,0.904,5379200
8/24/1977,0.904,0.9064,0.8971,0.8971,2019200
8/25/1977,0.8947,0.8947,0.8854,0.8878,2736000
8/26/1977,0.8831,0.8831,0.8716,0.8785,3795200
8/29/1977,0.8809,0.8971,0.8809,0.8971,2068800
8/30/1977,0.8971,0.9064,0.8924,0.8971,1977600
8/31/1977,0.8971,0.9017,0.8854,0.9017,1371200
9/1/1977,0.9017,0.9088,0.8995,0.9017,1243200
9/2/1977,0.9017,0.911,0.9017,0.9064,3177600
9/6/1977,0.9064,0.9157,0.9017,0.9133,2646400
9/7/1977,0.9157,0.9274,0.9157,0.925,2756800
9/8/1977,0.925,0.9296,0.9133,0.9157,3608000
9/9/1977,0.9133,0.9133,0.904,0.9088,4048000
9/12/1977,0.9088,0.9088,0.8924,0.9017,4449600
9/13/1977,0.9017,0.9064,0.8878,0.8947,2473600
9/14/1977,0.8947,0.8971,0.8878,0.8971,2468800
9/15/1977,0.8971,0.9064,0.8947,0.9017,1876800
9/16/1977,0.9017,0.904,0.8971,0.8995,2160000
9/19/1977,0.8995,0.9064,0.8971,0.9017,2894400
9/20/1977,0.9017,0.911,0.8995,0.9064,3016000
9/21/1977,0.9064,0.9133,0.9017,0.9017,2376000
9/22/1977,0.8995,0.8995,0.8924,0.8971,2523200
9/23/1977,0.8971,0.8971,0.8902,0.8924,2088000
9/26/1977,0.8924,0.8947,0.8854,0.8947,2006400
9/27/1977,0.8947,0.8995,0.8854,0.8902,2708800
9/28/1977,0.8902,0.8947,0.8854,0.8924,1540800
9/29/1977,0.8924,0.8971,0.8902,0.8971,1899200
9/30/1977,0.8971,0.904,0.8924,0.8971,2859200
10/3/1977,0.8971,0.9017,0.8924,0.8995,1945600
10/4/1977,0.8995,0.9064,0.8971,0.8995,2648000
10/5/1977,0.8995,0.8995,0.8902,0.8947,2580800
10/6/1977,0.8947,0.9017,0.8947,0.8995,1590400
10/7/1977,0.8995,0.9017,0.8924,0.8947,1262400
10/10/1977,0.8947,0.8947,0.8902,0.8924,755200
10/11/1977,0.8902,0.8902,0.8785,0.8809,2131200
10/12/1977,0.8738,0.8738,0.8575,0.8623,3678400
10/13/1977,0.8623,0.8692,0.8599,0.8599,2796800
10/14/1977,0.8599,0.8692,0.8599,0.8623,2598400
10/17/1977,0.8623,0.8738,0.8553,0.8716,1793600
10/18/1977,0.8716,0.8809,0.8668,0.8668,2264000
10/19/1977,0.8668,0.8738,0.8623,0.8623,2046400
10/20/1977,0.8623,0.8716,0.8575,0.8692,1537600
10/21/1977,0.8692,0.8738,0.8668,0.8716,1289600
10/24/1977,0.8716,0.8716,0.8553,0.8599,1680000
10/25/1977,0.8599,0.8599,0.8506,0.8575,2467200
10/26/1977,0.8575,0.8646,0.853,0.8646,2180800
10/27/1977,0.8646,0.8716,0.8623,0.8646,2166400
10/28/1977,0.8646,0.8738,0.8623,0.8738,1025600
10/31/1977,0.8738,0.8785,0.8716,0.8761,1004800
11/1/1977,0.8761,0.8761,0.8668,0.8716,1289600
11/2/1977,0.8716,0.8761,0.8692,0.8716,1753600
11/3/1977,0.8716,0.8785,0.8716,0.8785,3118400
11/4/1977,0.8785,0.8809,0.8692,0.8738,1894400
11/7/1977,0.8738,0.8761,0.8668,0.8668,2155200
11/8/1977,0.8668,0.8692,0.8599,0.8623,1220800
11/9/1977,0.8623,0.8623,0.8553,0.8599,1056000
11/10/1977,0.8623,0.8831,0.8623,0.8761,3193600
11/11/1977,0.8995,0.9088,0.8995,0.9064,2321600
11/14/1977,0.9064,0.9133,0.8995,0.8995,1705600
11/15/1977,0.8995,0.9064,0.8947,0.8995,1385600
11/16/1977,0.8995,0.904,0.8902,0.8902,2446400
11/17/1977,0.8902,0.8924,0.8854,0.8878,1860800
11/18/1977,0.8902,0.8924,0.8854,0.8878,1860800
