date,open,high,low,close,volume,Daily percent change
3/29/2011,36.1742,36.2325,35.7585,35.8533,9378700,-0.008950362
3/30/2011,36.021,36.7139,35.9043,36.6555,7642300,0.017309817
3/31/2011,36.517,36.6555,36.2982,36.4732,6268100,-0.001200882
4/1/2011,36.517,36.8889,36.4659,36.7285,5934700,0.005758471
4/4/2011,36.8306,36.867,36.2909,36.5097,5394900,-0.008789445
4/5/2011,36.3565,37.2755,36.3565,37.0056,6706200,0.017540588
4/6/2011,37.2317,37.29,37.0202,37.1661,5367400,-0.001765049
4/7/2011,36.8306,36.9546,36.1669,36.1888,12467800,-0.017734769
4/8/2011,36.0283,36.4076,35.8095,36.1231,8381400,0.002624359
4/11/2011,36.1231,36.2982,35.9116,35.9262,5478000,-0.00548068
4/12/2011,35.846,36.8889,35.8314,36.7868,9932700,0.025574391
4/13/2011,36.7649,36.9181,36.3711,36.5315,5796100,-0.006389007
4/14/2011,36.444,36.6701,36.2836,36.4805,4161400,0.001000535
4/15/2011,36.5826,36.9327,36.4951,36.6409,5315100,0.001591118
4/18/2011,36.4222,36.7212,36.2106,36.6628,4212200,0.00656251
4/19/2011,36.6555,36.6774,36.0721,36.3346,7162700,-0.008831802
4/20/2011,36.6555,37.0421,36.444,36.5024,5237400,-0.004194245
4/21/2011,36.5388,36.5753,36.32,36.393,4174400,-0.004006265
4/25/2011,36.3711,36.4367,36.094,36.1013,3665400,-0.007473415
4/26/2011,36.1013,36.5024,36.1013,36.3565,6400000,0.007019378
4/27/2011,36.4367,37.0348,36.3638,36.8962,5313100,0.012453857
4/28/2011,36.8306,37.0858,36.5534,36.6264,4713700,-0.005575214
4/29/2011,36.2982,36.2982,35.7512,35.8095,9155000,-0.013647217
5/2/2011,35.9846,36.0721,35.3938,35.5907,10163500,-0.011067498
5/3/2011,35.5178,35.9846,35.3792,35.8606,7943800,0.009559238
5/4/2011,35.897,36.094,35.5178,35.8825,8188600,-0.000404097
5/5/2011,35.7585,37.1296,35.6637,36.7139,13181300,0.026022841
5/6/2011,37.0494,37.0858,36.7868,36.8379,8800100,-0.00574137
5/9/2011,36.8087,36.8087,36.3273,36.4659,4757400,-0.009400563
5/10/2011,36.8014,36.9108,36.6555,36.8087,4612600,0.000198323
5/11/2011,37.0421,37.3703,36.8452,37.0567,7527400,0.000393991
5/12/2011,37.1442,37.8808,36.9181,37.7495,7932000,0.016034649
5/13/2011,37.837,38.0121,37.3703,37.5745,6292800,-0.006986121
5/16/2011,37.6218,37.6585,36.8229,36.8962,7049600,-0.019665982
5/17/2011,36.9182,37.27,36.8522,37.2187,6113500,0.008073898
5/18/2011,37.6951,37.7904,35.7675,36.6177,20200000,-0.029422929
5/19/2011,36.5591,36.9329,35.9874,36.8596,7400700,0.008152557
5/20/2011,36.6617,36.7203,36.2512,36.4198,8131400,-0.006641991
5/23/2011,36.1853,36.5224,36.1486,36.2879,4945800,0.002827389
