Date,Open,High,Low,Close,Volume,Market Cap
Aug-01-2022,9.871595133935148e-7,0.0000010701846667979853,9.55727512589538e-7,9.645585812780276e-7,85864594.25095057,934959254.095011
Jul-31-2022,9.577333234301375e-7,0.0000010024972766647786,9.549493034453968e-7,9.82376026505431e-7,54103685.676348545,907534750.5434921
Jul-30-2022,9.597356132627937e-7,9.670658839104277e-7,9.445769805771624e-7,9.55092506850072e-7,54682737.2780083,894053134.9424765
Jul-29-2022,9.585909322588164e-7,9.729606827242902e-7,9.38712853921254e-7,9.597356132627937e-7,45562451.70196079,894543017.1810876
Jul-28-2022,9.344006102234284e-7,9.721676154008771e-7,9.258528679837378e-7,9.58410642158966e-7,39622569.61264822,882312148.1022978
Jul-27-2022,8.739338243745498e-7,9.369212892636084e-7,8.7026135595263e-7,9.369212892636084e-7,35747071.36434109,836628732.160583
Jul-26-2022,8.908930291419534e-7,8.944928562142036e-7,8.446559769576801e-7,8.677912154478001e-7,35743339.89473684,810240155.7796651
Jul-25-2022,9.44062043080466e-7,9.447541137425552e-7,8.973789008216972e-7,8.973789008216972e-7,41436980.705882356,854524405.9921467
Jul-24-2022,9.243236804231296e-7,9.60160183001138e-7,9.243236804231296e-7,9.421771881397502e-7,39987566.059925094,882356853.0864877
Jul-23-2022,9.313806763160666e-7,9.515543030044944e-7,9.072838580855294e-7,9.236757197808478e-7,48089660.185328186,869460489.7681378
Jul-22-2022,9.4039286589839e-7,9.657363945973831e-7,9.273086104411906e-7,9.281015630303716e-7,49553064.08064516,881444851.514337
Jul-21-2022,9.357342767717856e-7,9.475842708027016e-7,8.97989406184385e-7,9.355702221832712e-7,65964796.484375,861117460.5891178
Jul-20-2022,9.495892629276336e-7,9.801218105017546e-7,9.271817763389588e-7,9.36103560706651e-7,149623220.39721254,894371062.3061645
Jul-19-2022,9.34134872930292e-7,9.576213731828732e-7,9.000904250474684e-7,9.417272951571952e-7,52896399.453874536,862587772.2043424
Jul-18-2022,8.978861153160177e-7,9.762187762227684e-7,8.96655688028911e-7,9.30002029650404e-7,36715164.083636366,861172568.2851037
Jul-17-2022,9.051664093014164e-7,9.194582504194178e-7,8.883148552562161e-7,8.996820092679205e-7,28861093.253521126,845682051.9654876
Jul-16-2022,8.725826707062968e-7,9.230163342803688e-7,8.555828801878081e-7,9.051540935834984e-7,27893363.313653138,820977166.0461758
Jul-15-2022,8.563329797874147e-7,8.853637700106366e-7,8.480144932171643e-7,8.725826707062968e-7,39535830.2189781,809582710.1690866
Jul-14-2022,8.397066299710524e-7,8.588802804710058e-7,8.163988449606282e-7,8.543841365168861e-7,42286149.814126395,785505409.4834958
Jul-13-2022,8.165520326343702e-7,8.446160602126799e-7,8.070913177180313e-7,8.414287298533245e-7,38676198.64885496,770386075.3241028
Jul-12-2022,8.686562129714023e-7,8.688780342692176e-7,8.126294414726754e-7,8.15938075344668e-7,43479863.85714286,781387218.7381059
Jul-11-2022,9.001922244593685e-7,9.01354509802764e-7,8.666632338729613e-7,8.666632338729613e-7,42936600.451612905,828208841.7342227
Jul-10-2022,9.211313931061243e-7,9.211313931061243e-7,8.967904553398032e-7,9.001922244593685e-7,45014191.011764705,848404119.0198022
Jul-09-2022,9.128415018361096e-7,9.297591862973064e-7,9.032283960745236e-7,9.187180619767192e-7,52613820.30039526,857851902.3431355
Jul-08-2022,9.384038717754816e-7,9.639770751875976e-7,8.985704583710937e-7,9.168637038424972e-7,62513324.94779117,866001730.7328593
Jul-07-2022,8.797561521844462e-7,9.36015950594047e-7,8.661443376772766e-7,9.36015950594047e-7,50502270.12698413,832253382.206714
Jul-06-2022,8.658557959186133e-7,8.84573437456852e-7,8.541517049466466e-7,8.797561521844462e-7,51158074.442477874,807225417.9755355
Jul-05-2022,8.747588615314938e-7,8.815379934214538e-7,8.378159395839221e-7,8.666746681299139e-7,58206511.3526971,807697897.0053723
Jul-04-2022,8.071846565766723e-7,8.747588615314938e-7,8.065550874690554e-7,8.747588615314938e-7,65895183.55918367,790872231.3956248
Jul-03-2022,8.063107835928395e-7,8.147088125546607e-7,7.956022526905542e-7,8.065574867925559e-7,50387279.32467532,752558277.5286112
Jul-02-2022,8.118160090074935e-7,8.139808822280232e-7,7.950138534847041e-7,8.068725283525597e-7,55304024.84162896,751627877.6162231
Jul-01-2022,8.0881393649659e-7,8.252768884331093e-7,8.01424861868585e-7,8.116260625658998e-7,72212324.15254237,758596992.662308
Jun-30-2022,8.480544367350582e-7,8.48255055365129e-7,7.855571414639578e-7,8.07174753270794e-7,67306980.36514522,756396107.3055867
Jun-29-2022,9.271746767926196e-7,9.651864153302942e-7,8.410089697039149e-7,8.460474005463599e-7,127536379.15151516,807530895.0264122
Jun-28-2022,8.385526240527455e-7,0.000001002760322151873,8.251156369321861e-7,9.2455304806397e-7,112593927.57088123,840166491.1256516
Jun-27-2022,8.602144423168152e-7,8.754197785743972e-7,8.329758793147856e-7,8.390858030010788e-7,70513207.17948718,797923998.6684529
Jun-26-2022,8.773969458900996e-7,8.84717290047377e-7,8.571001109787833e-7,8.606391190049601e-7,61251071.027027026,814602033.3760427
Jun-25-2022,8.862419867311666e-7,8.929557419755735e-7,8.548598800151414e-7,8.762949380524923e-7,79710105.70940171,813248487.0908208
Jun-24-2022,8.050046026366652e-7,9.265318438229848e-7,8.050046026366652e-7,8.8629972456436e-7,104080982.95406361,813185686.5155107
Jun-23-2022,7.802637491518053e-7,8.069168290985529e-7,7.782084415902399e-7,8.045917389799524e-7,74545798.8235294,739897495.4131476
Jun-22-2022,8.190939595680123e-7,8.234241642208968e-7,7.789026221429426e-7,7.790339510254287e-7,75188946.54237288,740183186.7849238
Jun-21-2022,8.051431097296342e-7,8.372565431119919e-7,7.982095460277317e-7,8.185169609443022e-7,70233480.50241546,762322120.5923382
Jun-20-2022,7.940275733009447e-7,8.10123113572109e-7,7.657207459577273e-7,8.051431097296342e-7,78488280.91629957,733193079.0831913
Jun-19-2022,7.326460009956059e-7,7.961226906848747e-7,7.147379898379285e-7,7.938097029956151e-7,59749633.4939759,697422787.6328979
Jun-18-2022,7.691423363509806e-7,7.709124840059138e-7,7.033614900210935e-7,7.326460009956059e-7,55727500.17167382,688325506.9402058
Jun-17-2022,7.588607555766243e-7,7.840321773292542e-7,7.506145932390338e-7,7.683052256558681e-7,60628938.204444446,718603523.2140542
Jun-16-2022,8.229564684951513e-7,8.341290538568107e-7,7.565219256033021e-7,7.569341958869724e-7,58376677.5,736140549.7380878
Jun-15-2022,8.027271416717945e-7,8.250160896746468e-7,7.385558504287621e-7,8.227930443126542e-7,76072741.03225806,728221922.1651459
Jun-14-2022,8.181182953319411e-7,8.280509832920252e-7,7.676905034850793e-7,8.027271416717945e-7,94655425.86122449,750527021.5360955
Jun-13-2022,9.379299270698504e-7,9.379299270698504e-7,7.99990095352263e-7,8.185514067482224e-7,70529320.44615385,790800264.8814473
Jun-12-2022,9.557938379653569e-7,9.681772385888365e-7,9.187287689895008e-7,9.369324971915276e-7,63607489.573459715,878853354.8682183
Jun-11-2022,0.0000010037843856704615,0.000001019291609268585,9.502043910885162e-7,9.569297204180695e-7,68948014.96666667,918242334.4786476
Jun-10-2022,0.0000010493026535659618,0.0000010530445267294894,0.0000010016730744406033,0.0000010037843856704615,68027127.07296138,960377769.1272182
Jun-09-2022,0.0000010550956226522406,0.0000010732288090389791,0.000001048461775482754,0.0000010514882425406066,82747027.98173515,986785541.3429819
Jun-08-2022,0.0000010777686775131798,0.0000010887918194514312,0.0000010543588489119913,0.0000010550956226522406,83860742.11555555,1002235652.158287
Jun-07-2022,0.0000010822716925288795,0.0000010972242166952104,0.0000010480481423945671,0.000001079931535936158,54817684.27467811,997184364.5627036
Jun-06-2022,0.000001086328793295582,0.0000011234729149904103,0.0000010816531819910445,0.0000010816531819910445,43653518.81222708,1033100674.0441931
Jun-05-2022,0.0000010769403863145097,0.0000010898577139144273,0.000001060903685340233,0.0000010851199990810407,31696029.173076924,998657301.3797014
Jun-04-2022,0.0000010631188104529537,0.0000010769403863145097,0.00000104572002058254,0.0000010769403863145097,29984788.62727273,989052280.1158346
Jun-03-2022,0.0000010859491460602234,0.0000010968230516716032,0.000001051598555136578,0.0000010629266473895325,52261179.98139535,996492404.699105
Jun-02-2022,0.0000010843008262611957,0.0000010965729672447698,0.0000010669479389146803,0.0000010868804776071845,63587792.48309179,1005010333.8111653
Jun-01-2022,0.0000011291680901837496,0.0000011389890918940794,0.0000010731498521939516,0.0000010846737892449495,60637679.96638656,1037939717.6927655
May-31-2022,0.000001121754665836681,0.0000011307731312803807,0.000001112964867762553,0.0000011291680901837496,63684502.64317181,1043983152.1512907
May-30-2022,0.0000010347008154998417,0.0000011220408812873402,0.000001032390022174409,0.000001121754665836681,66564741.17431193,1004124070.7940577
May-29-2022,0.000001033127146785391,0.0000010485862339171672,0.000001020950111392552,0.0000010347008154998417,52532753.058823526,960267691.3012767
May-28-2022,0.0000010271422382717023,0.0000010439678347902634,0.0000010238214049092905,0.0000010336573451536163,70896978.23300971,962067188.2458274
May-27-2022,0.0000010514791280255862,0.0000010559643721591237,0.0000010163949024942908,0.0000010271422382717023,130934638.66192171,960721892.4590812
May-26-2022,0.0000011337180169619084,0.0000011356660923338195,0.0000010391746519808049,0.00000105274262095473,219933379.7222222,1009815284.3972414
May-25-2022,0.00000112246376424359,0.0000011422548453091148,0.0000011111810226329094,0.0000011338609532633978,119291224.90566038,1046863284.7093174
May-24-2022,0.000001104416108019071,0.0000011279678262863734,0.0000010929445741058311,0.0000011249684158510605,77618660.20091324,1038061011.8345567
May-23-2022,0.0000011303232836798205,0.0000011575963512187434,0.0000011020767830835854,0.0000011020767830835854,84715311.13901345,1057807722.5407896
May-22-2022,0.0000011035932563175643,0.000001134382536493004,0.0000011035932563175643,0.0000011303232836798205,74705947.56756757,1039972901.3541028
May-21-2022,0.0000010922488273788989,0.0000011223344276687716,0.0000010922488273788989,0.0000011024238077009374,95047470.75518672,1024305133.8433442
May-20-2022,0.000001116109195438364,0.0000011405944058390084,0.0000010828548499005564,0.0000010935869278786066,99066325.01167315,1034353264.5954889
May-19-2022,0.0000010859103988596134,0.0000011191840255235978,0.0000010759624204246155,0.000001116109195438364,85585614.29864253,1023127163.4879874
May-18-2022,0.000001130265269983138,0.000001141580927733893,0.0000010801878872381709,0.0000010801878872381709,81724278.78571428,1031159193.4773649
May-17-2022,0.0000011068871629005849,0.000001140869198203349,0.0000011046054494468852,0.000001136039012340464,56665090.04918033,1044451074.2631948
May-16-2022,0.0000011472668222347771,0.0000011472668222347771,0.0000010872958751382249,0.0000011108980962349346,38151856.97338403,1035100274.2998769
May-15-2022,0.000001113203250037469,0.000001147218794828452,0.000001086641753059061,0.000001147218794828452,31984963.088235293,1029451366.7197942
May-14-2022,0.000001122864980440899,0.0000011332163935201395,0.0000010688940594404658,0.0000011131419986558911,41295287.43396226,1023409693.2560139
May-13-2022,0.0000010432540746290027,0.0000011767888078880747,0.00000103502737593853,0.0000011203585508369563,66364685.76119403,1053195714.0253919
May-12-2022,0.0000012021654851947707,0.0000012210595116770125,9.78442785469918e-7,0.000001042839601409313,120186196.44444445,996521744.4120606
May-11-2022,0.0000014549845300214071,0.0000014676842381982258,0.0000011811108771920376,0.0000012070479862235636,140337668.68292683,1244676419.7299216
May-10-2022,0.0000014304931465849034,0.0000015208702780666711,0.0000014001264190461669,0.0000014574506124329016,91901070.38202247,1370843954.9962945
May-09-2022,0.0000016022187769425895,0.0000016060635343059138,0.0000014328277686108772,0.0000014328277686108772,67205340.5877551,1423422949.5270143
May-08-2022,0.0000016351544006884809,0.000001635634971713898,0.0000015961074848413412,0.0000015987632703824307,63307585.65400844,1496484647.1701794
May-07-2022,0.000001677861398631443,0.0000016860813626008784,0.0000016148365294115763,0.0000016351544006884809,77287287.12550607,1546229215.7346175
May-06-2022,0.0000016753315813783052,0.000001696135590013767,0.0000016447750307430975,0.000001677012117120555,125196324.61971831,1552512635.06704
May-05-2022,0.000001783772257009174,0.000001813451008698324,0.0000016557268497376172,0.0000016738644597156153,76831676.49799196,1620362596.004203
May-04-2022,0.000001702042860103072,0.0000018030396532760244,0.0000016924302488773435,0.0000017797697474461712,71702593.14285715,1612468897.0013561
May-03-2022,0.0000017114407899057242,0.0000017262130441947616,0.000001693040237358923,0.0000016983552874836508,32902749.519313306,1588306050.6407118
May-02-2022,0.0000017242213319069242,0.0000017402451527773276,0.0000016876133078870716,0.0000017148811404698662,60255409.53684211,1594789298.5999887
May-01-2022,0.000001662799153706252,0.0000017250950969924954,0.0000016545337028950217,0.0000017242213319069242,76237343.7081545,1562911242.5359821
Apr-30-2022,0.0000017158284473368382,0.000001726297988081848,0.0000016588318000721823,0.000001662799153706252,37371206.30414747,1585773101.3690746
Apr-29-2022,0.0000017748778722149974,0.0000017804180520111726,0.000001707133062860395,0.0000017158284473368382,36881129.09677419,1617781712.348228
Apr-28-2022,0.0000017710955990828403,0.0000017914988125607545,0.00000175442398984829,0.0000017748778722149974,37931784.5106383,1645519834.6515026
Apr-27-2022,0.000001749865559178996,0.0000017965701461300668,0.000001747867026296513,0.0000017710955990828403,44268152.77366255,1646023152.3240469
Apr-26-2022,0.000001836669656177305,0.0000018502149062189696,0.0000017493351522573572,0.000001755404534395756,46151111.238866396,1681649228.6136417
Apr-25-2022,0.0000018365627770456768,0.000001839737624734897,0.000001766178880726015,0.000001835637046966413,50912261.53982301,1676782021.1371737
Apr-24-2022,0.0000018431836252164643,0.0000018575985050200493,0.0000018233834224154396,0.0000018365627770456768,72541594.87603305,1707500106.725322
Apr-23-2022,0.000001884640590732604,0.0000018867335168281944,0.0000018431836252164643,0.0000018431836252164643,79424906.86462882,1720913695.3516634
Apr-22-2022,0.0000018989177518981013,0.0000019123760614510035,0.0000018660414767946703,0.000001884640590732604,81724486.67826086,1751004959.9521244
Apr-21-2022,0.0000018976392013286565,0.000002034043083223237,0.000001894545763933365,0.0000018946388129093155,52738941.90134529,1787290908.9337904
Apr-20-2022,0.0000019281360242745425,0.000001939396914839486,0.0000018939501725924507,0.0000018963499631806093,52325709.477477476,1772406470.9463568
Apr-19-2022,0.000001909254143813009,0.0000019337970044214986,0.0000018878384992628936,0.0000019266756541068787,48918573.345454544,1771836082.2755742
Apr-18-2022,0.000001895809916210552,0.0000019149588647171995,0.0000018355177723761368,0.000001909254143813009,48223156.10909091,1738083494.3824677
Apr-17-2022,0.0000019637865813739846,0.0000019776298958672542,0.0000018851613785949435,0.0000018851613785949435,55419684.20512821,1793080817.0762007
Apr-16-2022,0.0000019793814986575306,0.00000200383969125425,0.0000019452458080144167,0.00000195769316628082,85338985.93103448,1827739079.789074
Apr-15-2022,0.000001937284989309093,0.000002002270622445146,0.000001937284989309093,0.0000019792472892876456,92280917.93650794,1828230298.2657502
Apr-14-2022,0.0000019127182772154213,0.000002047906321061369,0.0000019026601386539448,0.000001939302935391052,84062604.83137254,1795745674.6539423
Apr-13-2022,0.0000018491816574625383,0.0000019124772564624423,0.0000018412253934080784,0.0000019109578539228973,75802977.02766798,1733339837.7345393
Apr-12-2022,0.000001808920512158167,0.000001873421740781397,0.000001808920512158167,0.0000018532480186417852,62736909.62162162,1709012317.02524
Apr-11-2022,0.000001966703011056285,0.0000019733914514213875,0.0000018080279857611612,0.0000018080279857611612,60629623.27710843,1744327859.8594232
Apr-10-2022,0.0000019739822076629253,0.0000019739822076629253,0.0000019739822076629253,0.0000019739822076629253,44137944,1828936815.0175898
Apr-09-2022,0.0000019609052358057792,0.000002000210193897291,0.0000019488480634298237,0.000001974716246385083,54100958.558823526,1829139040.3619447
Apr-08-2022,0.000002025373535449349,0.0000020396364068464723,0.000001956871237690713,0.000001960263860062201,74696777.79467681,1861419867.162254
Apr-07-2022,0.000001973670449546745,0.000002036187370604625,0.0000019673641742117102,0.0000020312151817859725,69318370.30075188,1852284697.2032878
Apr-06-2022,0.0000021211685616166712,0.0000021211685616166712,0.0000019730679450676643,0.000001977326937791677,154137540.04225352,1894896132.1148224
Apr-05-2022,0.0000021815984994971094,0.000002216451421739564,0.000002120698986499363,0.000002120698986499363,87476967.2238806,2009459775.530676
Apr-04-2022,0.000002211147785865817,0.0000022287869643939405,0.000002126657532618366,0.0000021868373811006897,87831333.703125,2023981715.5625157
Apr-03-2022,0.0000022341906929946253,0.0000022582719266287704,0.000002193111943386061,0.000002215957646909229,82102296.62453532,2064477915.152078
Apr-02-2022,0.000002183246334325031,0.0000022440655965352185,0.000002177862911954961,0.0000022341906929946253,83170026.20895523,2050201445.6354508
Apr-01-2022,0.0000021455446716556907,0.000002206713009876764,0.0000020821150864117705,0.00000217603893732618,95547589.77443609,1979966269.5449798
Mar-31-2022,0.0000021296148282577203,0.000002322223619424538,0.0000021296148282577203,0.0000021453544832493267,113350101.68197879,2045489745.5921936
Mar-30-2022,0.0000021147700191576263,0.000002147750235756112,0.00000209582958673958,0.0000021286274515239293,80577378.71698113,1956015772.8785357
Mar-29-2022,0.0000020906186796373983,0.0000021722716773323787,0.0000020906186796373983,0.0000021140026375268657,84640636.57587549,1966802983.8150399
Mar-28-2022,0.000002142108369587221,0.0000021837740027731222,0.000002106826882381422,0.000002106826882381422,128088788.44755244,1989907904.2610464
Mar-27-2022,0.000001939184427744065,0.000002224119105505383,0.0000019330485297317138,0.000002143130478457269,91417090.92473118,1855880205.6271603
Mar-26-2022,0.0000019157632580111985,0.0000019491187891636417,0.000001898770268018614,0.0000019354070458008647,89228410.29390681,1775435962.2329195
Mar-25-2022,0.0000019880003140299087,0.000001992302163055862,0.000001909987641221008,0.0000019156526941654787,100617218.88111888,1808317824.454825
Mar-24-2022,0.00000189379823636596,0.0000020011361906059026,0.0000018678730903553495,0.000001983808350922737,68020202.00711744,1770631997.1977482
Mar-23-2022,0.0000018655674460477304,0.000001894770454093446,0.0000018366482027804016,0.00000189379823636596,73039361.10924369,1720621429.071414
Mar-22-2022,0.000001825401928367945,0.000001876049846688848,0.0000018222500423583336,0.000001859459191089263,81997753.93103448,1716884052.0793142
Mar-21-2022,0.0000018181787319156857,0.0000018462449644776665,0.0000018126316086838407,0.000001825916537677664,63985638.3930131,1688176905.2454243
Mar-20-2022,0.0000018627836463760044,0.0000018681181301505276,0.0000017980226441794011,0.0000018181787319156857,41840837.368421055,1698079936.7852373
Mar-19-2022,0.000001856543374832712,0.000001888016333225184,0.000001847585263541606,0.0000018627836463760044,54597548.21524664,1721557887.084249
Mar-18-2022,0.0000018307622847625424,0.0000018665772516182928,0.00000179686669186307,0.000001856759467334525,46962463.72532189,1685190030.4778354
