date,open,high,low,close,volume
1/2/2020,32.4482,32.542,32.3032,32.5335,6565065
1/3/2020,32.8235,33.3439,32.8065,33.1221,14000652
1/6/2020,33.8471,34.1883,33.8301,33.9921,15091670
1/7/2020,33.5742,33.6723,33.2671,33.6339,12494777
1/8/2020,33.4718,33.5187,32.9131,33.1221,9335579
1/9/2020,33.0538,33.233,32.7638,33.233,6646782
1/10/2020,33.25,33.2927,33.0453,33.0453,5697760
1/13/2020,32.943,33.1477,32.8065,33.0965,6129110
1/14/2020,32.9941,33.1477,32.9118,33.1136,5489594
1/15/2020,33.0538,33.1008,32.9344,33.0197,4834105
1/16/2020,33.25,33.3268,33.105,33.1306,5353468
1/17/2020,33.2159,33.2159,33.0197,33.0709,5809641
1/21/2020,32.8406,32.8491,32.67,32.6871,6999001
1/22/2020,32.525,32.5591,32.1667,32.3117,7865667
1/23/2020,32.2264,32.5932,32.1582,32.5847,8187832
1/24/2020,32.542,32.5847,32.4141,32.525,6438818
1/27/2020,32.0046,32.1497,31.834,31.9364,7940163
1/28/2020,32.0644,32.0814,31.8852,31.9108,8180564
1/29/2020,31.9108,31.9961,31.672,31.7061,5587647
1/30/2020,31.4161,31.6208,31.1431,31.5867,10587449
1/31/2020,30.9128,30.9469,30.5972,30.819,12515704
2/3/2020,30.6228,30.691,29.9148,30.0513,17227628
2/4/2020,31.4843,31.5184,30.8915,31.1346,20778067
2/5/2020,31.962,32.2264,31.8554,32.1326,11966402
2/6/2020,31.7743,31.7999,31.3649,31.4587,9639984
2/7/2020,30.9896,31.1303,30.9469,31.0237,7754846
2/10/2020,30.8616,30.9461,30.7251,30.8702,7831440
2/11/2020,31.2796,31.2941,31.0536,31.1772,6965345
2/12/2020,31.6037,31.7487,31.4587,31.7061,9808902
2/13/2020,31.3556,31.5292,31.2775,31.399,8118818
2/14/2020,31.3556,31.3817,30.9304,31.2428,8800508
2/18/2020,31.0258,31.3817,30.9998,31.3209,8514484
2/19/2020,31.2341,31.5899,31.1734,31.4598,9434122
2/20/2020,31.3817,31.5639,31.1647,31.2254,6515546
2/21/2020,30.9217,30.9304,30.5572,30.6874,10691299
2/24/2020,29.455,29.7154,29.3856,29.5592,12418601
2/25/2020,29.5505,29.5765,28.4483,28.5785,13970854
2/26/2020,28.6913,28.9896,28.3355,28.3615,11302060
2/27/2020,27.7106,28.2183,27.2897,27.3635,17591827
2/28/2020,26.0877,27.1639,25.784,27.1552,26024821
3/2/2020,27.3808,28.0014,27.0077,27.971,20399647
3/3/2020,28.2053,28.5481,27.2968,27.702,20705057
3/4/2020,28.2921,28.7955,28.0881,28.7607,16516520
3/5/2020,28.2921,28.4223,27.9406,28.2921,14379966
3/6/2020,27.268,27.5805,26.756,27.1205,16796913
3/9/2020,21.5489,22.6641,21.0021,21.9394,46710773
3/10/2020,23.5449,23.6317,21.8136,23.2499,25069710
3/11/2020,22.165,22.382,21.1496,21.4013,28811266
3/12/2020,19.3185,19.3358,18.2684,18.7196,25165293
3/13/2020,19.5875,19.6222,17.791,19.2404,21535468
3/16/2020,16.5327,17.2009,16.1421,16.3504,19463870
3/17/2020,16.1161,16.6151,15.1875,16.3504,20325793
3/18/2020,15.2135,15.4825,13.4604,13.9812,20972884
3/19/2020,14.0159,15.4652,13.6862,14.7535,17583671
3/20/2020,15.8297,15.8644,14.6754,15.092,26435424
3/23/2020,15.6127,16.1855,15.0399,15.7863,32355093
3/24/2020,17.8952,19.6135,17.6348,19.197,32195704
3/25/2020,20.7678,22.0435,20.0605,21.0802,37540230
3/26/2020,21.0195,22.0001,20.5769,21.193,47554895
3/27/2020,19.9346,19.978,19.1623,19.3966,23218852
3/30/2020,20.1863,21.0108,19.5788,20.7591,22849128
3/31/2020,21.679,22.4225,20.8459,21.167,21175351
4/1/2020,21.896,22.1824,20.924,21.1496,23438293
4/2/2020,22.5382,23.9094,21.7485,22.5903,34957834
4/3/2020,22.0956,22.2605,20.924,21.4534,18447519
4/6/2020,21.4447,21.8613,21.1159,21.7398,14895983
4/7/2020,21.922,22.5122,21.3406,21.5228,18969792
4/8/2020,21.436,22.126,21.2885,22.0349,13965359
4/9/2020,21.9828,22.113,21.1062,21.6096,25679280
4/13/2020,22.0696,22.0782,21.3102,21.6183,10417875
4/14/2020,21.2104,21.5289,20.9674,21.2104,12312699
4/15/2020,20.2384,20.2818,19.5875,19.8218,23617220
4/16/2020,19.2664,19.3619,18.8498,18.9626,19799176
4/17/2020,19.5701,20.3512,19.5035,20.3339,14872456
4/20/2020,19.3185,19.9505,19.2404,19.3966,18065130
4/21/2020,18.6936,19.249,18.468,18.7804,23690514
4/22/2020,19.9433,20.3382,19.7194,20.2471,14881940
4/23/2020,20.3339,20.7331,20.182,20.2905,14571785
4/24/2020,20.4727,20.6723,19.9954,20.2991,13161705
4/27/2020,20.0822,21.1757,19.8131,21.0976,15995516
4/28/2020,20.8025,21.2625,20.6289,20.9674,11900850
4/29/2020,21.7832,22.1043,21.7137,22.0696,12430196
4/30/2020,21.0368,21.0889,20.4814,20.655,18536980
5/1/2020,19.8913,20.1429,19.6396,19.8131,13468944
5/4/2020,19.683,20.2731,19.5528,20.1776,14192487
5/5/2020,21.193,21.4621,20.655,20.7157,13550090
5/6/2020,20.9587,21.0108,20.412,20.464,11103110
5/7/2020,21.1323,21.3362,20.7851,20.8806,10116565
5/8/2020,21.4013,21.428,21.1163,21.4013,8204738
5/11/2020,20.9916,21.1252,20.8269,20.9293,6956395
5/12/2020,21.1341,21.2232,20.5374,20.5374,10143582
5/13/2020,20.5641,20.6265,19.7003,19.7982,10586051
5/14/2020,19.3707,19.8517,18.8764,19.7181,10733615
5/15/2020,19.4064,19.8249,19.255,19.4331,11149777
5/18/2020,20.7601,21.2677,20.7423,20.9382,16729346
5/19/2020,21.1074,21.1074,20.4038,20.4038,14218956
5/20/2020,20.9738,21.1163,20.7868,21.0362,10494728
5/21/2020,21.1341,21.3034,20.582,20.8224,10634735
5/22/2020,20.4662,20.5063,20.0877,20.4662,7941052
5/26/2020,20.7957,20.8759,20.6176,20.7156,10079956
5/27/2020,21.4637,21.5349,20.9115,21.3123,9537986
5/28/2020,21.1965,21.2143,20.671,20.7156,8673884
5/29/2020,20.3593,20.6933,20.2346,20.6087,10202431
6/1/2020,20.6176,21.2944,20.4929,21.2321,10749711
6/2/2020,22.0158,22.2563,21.9179,22.2207,13078211
6/3/2020,22.8619,23.1558,22.755,23.0668,12310700
6/4/2020,22.8263,23.0133,22.4879,22.8797,8644708
6/5/2020,24.2691,24.8836,24.2691,24.6788,18376904
6/8/2020,25.3378,25.4447,24.8124,25.2755,13482858
6/9/2020,24.5274,24.5808,24.0776,24.3492,11889710
6/10/2020,23.9485,24.0331,23.4052,23.4943,9705158
6/11/2020,22.3365,22.6125,21.4013,21.4369,14729796
6/12/2020,22.2652,22.4834,21.5616,22.0426,11715337
6/15/2020,20.9026,21.9001,20.6888,21.6952,12731573
6/16/2020,22.2296,22.4478,21.5616,21.8644,14336705
6/17/2020,21.7308,21.7932,21.1074,21.1074,12126835
6/18/2020,20.8759,21.2232,20.7268,21.0985,8820800
6/19/2020,21.5616,21.6062,20.9827,21.0807,10182868
6/22/2020,21.1074,21.3746,21.0005,21.2588,8940169
6/23/2020,21.7576,21.7932,21.4726,21.526,9036375
6/24/2020,21.1609,21.1609,20.4929,20.6087,9382428
6/25/2020,20.4662,20.9293,20.3682,20.9293,7762760
6/26/2020,20.8224,20.8536,20.183,20.2702,9161204
6/29/2020,20.769,21.0629,20.6042,20.9115,10663112
6/30/2020,20.4573,20.8491,20.2346,20.769,10274289
7/1/2020,20.7779,21.0495,20.6399,20.671,7636994
7/2/2020,21.0537,21.2499,20.7334,20.8491,6501872
7/6/2020,21.0807,21.3123,20.8759,21.054,7295145
7/7/2020,20.8759,20.9204,20.4929,20.5018,6374756
7/8/2020,20.5018,20.8091,20.3949,20.6265,6931401
7/9/2020,20.3949,20.4439,19.6157,19.6379,12842591
7/10/2020,19.6468,20.0209,19.6201,20.0031,12825372
7/13/2020,20.1723,20.3771,19.9505,20.0031,10335189
7/14/2020,20.0476,20.7601,19.963,20.7334,9359892
7/15/2020,21.0985,21.2499,20.9427,21.2054,10731955
7/16/2020,21.143,21.3701,21.0184,21.1252,8322812
7/17/2020,21.0896,21.1074,20.671,20.7066,9034335
7/20/2020,20.6888,20.858,20.4172,20.4306,7635483
7/21/2020,20.8491,21.8021,20.7957,21.4548,13611821
7/22/2020,21.0362,21.0629,20.7066,20.8848,8177710
7/23/2020,20.582,20.7645,20.5018,20.6799,9066569
7/24/2020,20.4662,20.72,20.4038,20.4217,10880403
7/27/2020,20.4751,20.6087,20.3326,20.6087,7303113
7/28/2020,20.4395,20.6532,20.3103,20.3237,10688561
7/29/2020,20.4484,20.6888,20.3504,20.6799,6650353
7/30/2020,20.3059,20.3949,19.7982,19.9853,10337977
7/31/2020,19.7626,19.8428,19.3707,19.629,11132208
8/3/2020,19.5667,19.7537,19.4509,19.6735,11767472
8/4/2020,20.8135,21.3746,20.6443,21.143,27976904
8/5/2020,21.8288,21.8466,21.1876,21.3301,15086557
8/6/2020,20.8224,21.0718,20.671,20.7156,12123274
8/7/2020,20.1456,20.4706,20.0654,20.4662,10619401
8/10/2020,20.7779,20.9293,20.7066,20.9293,12573093
8/11/2020,21.5794,21.6774,21.1163,21.2054,11517319
8/12/2020,21.7932,21.9179,21.5438,21.6062,10272885
8/13/2020,21.6707,21.6978,21.1095,21.1653,10190578
8/14/2020,20.8133,20.9758,20.6147,20.7501,10291091
8/17/2020,20.7772,20.8336,20.344,20.5335,12280162
8/18/2020,20.344,20.6328,20.1472,20.1815,12016450
8/19/2020,20.1454,20.3756,20.01,20.0732,7519386
8/20/2020,19.8566,19.9378,19.7212,19.8205,9594438
8/21/2020,19.5678,19.5948,19.2789,19.3692,12033180
8/24/2020,19.7844,20.019,19.658,19.7753,13274990
8/25/2020,20.0281,20.0552,19.4143,19.5136,10783537
8/26/2020,19.4053,19.4865,19.2428,19.297,7340777
8/27/2020,19.4233,19.4414,18.9901,19.0804,10216142
8/28/2020,19.2609,19.3769,19.0894,19.297,7867943
8/31/2020,19.306,19.3331,18.8728,18.8908,7755736
9/1/2020,18.8728,19.0893,18.6742,18.7464,11397704
9/2/2020,18.6742,18.7735,18.5117,18.5659,12770297
9/3/2020,18.593,19.0352,18.5027,18.602,13109637
9/4/2020,18.936,18.954,18.3312,18.5388,11595283
9/8/2020,18.3854,18.4756,18.018,18.1868,13786586
9/9/2020,18.6562,18.6923,18.2951,18.3403,11433851
9/10/2020,18.5569,18.593,17.9522,17.9702,13883542
9/11/2020,18.0966,18.2681,17.9025,18.1056,10330932
9/14/2020,18.1597,18.1597,17.8709,17.907,9725892
9/15/2020,17.9973,18.1958,17.7175,17.7446,12793340
9/16/2020,17.8258,18.2771,17.6453,18.0153,14637094
9/17/2020,17.7536,17.8709,17.5388,17.6543,15833131
9/18/2020,17.3565,17.4287,17.0315,17.0406,19385540
9/21/2020,16.5261,16.6118,16.3456,16.5351,16973612
9/22/2020,17.0045,17.1277,16.5532,16.6795,10338907
9/23/2020,16.842,16.8826,16.1921,16.2192,12121159
9/24/2020,16.3907,16.3907,15.9862,16.1831,16703668
9/25/2020,16.1109,16.1741,15.9214,16.1199,14518187
9/28/2020,16.4539,16.5577,16.3456,16.4088,14452169
9/29/2020,16.2012,16.2102,15.8582,15.9484,14969565
9/30/2020,15.9936,16.0658,15.6596,15.7589,16180211
10/1/2020,15.3798,15.4746,15.1248,15.1903,18149702
10/2/2020,14.8112,15.2692,14.7841,15.2083,20231370
10/5/2020,15.3166,15.5513,15.2219,15.5152,12680506
10/6/2020,15.7138,15.8492,15.2264,15.2805,16086349
10/7/2020,15.2535,15.4204,15.1091,15.3708,13690566
10/8/2020,15.4881,15.804,15.4881,15.786,14443544
10/9/2020,15.9575,16.0116,15.6235,15.6686,11523652
10/12/2020,15.5242,15.5964,15.3934,15.5603,13246936
10/13/2020,15.3166,15.3473,14.9827,15.0549,17739358
10/14/2020,14.9105,15.1903,14.9015,14.9737,13018986
10/15/2020,14.4231,14.8473,14.3238,14.8383,18582303
10/16/2020,14.6036,14.8293,14.4682,14.6668,17766968
10/19/2020,14.6307,14.8473,14.4502,14.4682,14830712
10/20/2020,14.5495,14.6803,14.4592,14.5765,14076002
10/21/2020,14.4592,14.4908,14.2877,14.2877,13419036
10/22/2020,14.0982,14.5585,14.0711,14.5314,18360720
10/23/2020,14.6848,14.7345,14.3328,14.4863,15349392
10/26/2020,14.4592,14.4727,14.1072,14.2606,19142488
10/27/2020,14.1162,14.1252,13.8545,13.8816,22164773
10/28/2020,13.5386,13.8093,13.4032,13.4483,27737621
10/29/2020,13.5205,13.8093,13.3039,13.7732,28280222
10/30/2020,13.8545,13.9899,13.7552,13.9718,22618591
11/2/2020,14.2787,14.6397,14.0079,14.5314,18325962
11/3/2020,14.9376,14.9601,14.5269,14.6036,21116540
11/4/2020,14.5585,14.7661,14.2967,14.5585,15737483
11/5/2020,14.618,14.7561,14.5168,14.572,14202676
11/6/2020,14.572,14.7653,14.3603,14.3971,17525481
11/9/2020,17.0114,17.26,16.5512,16.6432,50475633
11/10/2020,17.7847,17.7939,17.4257,17.5822,36936864
11/11/2020,18.0608,18.07,17.2738,17.3796,23220572
11/12/2020,17.0483,17.4073,16.7445,16.8273,18017649
11/13/2020,16.9746,17.3612,16.947,17.306,11526270
11/16/2020,18.383,18.4014,17.9688,18.1897,18319888
11/17/2020,18.0056,18.5211,17.8072,18.4567,17434843
11/18/2020,18.5579,18.6592,17.9964,18.0056,14921356
11/19/2020,17.7294,18.0424,17.6282,17.978,14361561
11/20/2020,17.932,18.0424,17.8307,17.9412,8782051
11/23/2020,18.5855,18.7973,18.4843,18.7881,13938413
11/24/2020,19.9571,20.3438,19.773,20.1228,23638944
11/25/2020,19.7822,19.8818,19.4785,19.7086,14145428
11/27/2020,19.2944,19.5337,19.2575,19.4232,9843100
11/30/2020,18.963,18.9998,18.0056,18.0056,19550813
12/1/2020,18.8433,18.9814,18.5855,18.6316,19097454
12/2/2020,19.0918,19.7361,19.0274,19.3956,18091674
12/3/2020,19.5889,20.1597,19.3772,19.6626,20329560
12/4/2020,20.3346,20.6567,20.2885,20.5002,18179058
12/7/2020,20.0676,20.2333,19.8375,19.9571,14173633
12/8/2020,19.9663,20.2425,19.9203,20.0584,15154353
12/9/2020,20.353,20.5831,19.9571,20.1597,15666025
12/10/2020,20.2701,21.0111,20.2333,20.6291,17891718
12/11/2020,20.3714,20.4082,19.9479,20.2793,13756788
12/14/2020,20.3806,20.5509,19.6303,19.6626,12978313
12/15/2020,19.8651,20.2379,19.8006,20.1965,11890316
12/16/2020,20.1412,20.2977,19.9387,20.0952,12277147
12/17/2020,20.2701,20.2977,20.0216,20.1597,14889256
12/18/2020,20.2517,20.2701,19.9019,20.0124,10970942
12/21/2020,18.696,19.2115,18.5855,19.0366,19075736
12/22/2020,19.055,19.1102,18.8111,18.8525,10396079
12/23/2020,19.46,19.8283,19.4232,19.5245,13730077
12/24/2020,19.5981,19.6349,19.1883,19.3864,5023985
12/28/2020,19.5981,19.7868,19.2299,19.322,10205215
12/29/2020,19.6902,19.6994,19.322,19.3956,13052395
12/30/2020,19.5061,19.5981,19.2667,19.3588,11640813
12/31/2020,19.1102,19.2667,18.8709,18.8893,11985826
1/4/2021,19.414,19.4481,18.9169,19.1747,14478508
1/5/2021,19.727,20.9697,19.6718,20.6015,25416917
1/6/2021,21.5128,21.9639,21.117,21.5497,25205979
1/7/2021,21.835,22.2308,21.6325,22.0099,16453632
1/8/2021,22.2493,22.5438,22.0836,22.461,20175144
1/11/2021,21.8718,22.553,21.7982,22.4426,12509355
1/12/2021,22.9581,23.1882,22.7556,23.0225,16968236
1/13/2021,23.1146,23.1238,22.6589,22.8108,14143544
1/14/2021,23.0317,23.5196,22.9811,23.446,14259437
1/15/2021,22.8292,22.912,22.2216,22.3321,24036201
1/19/2021,22.6635,22.8292,22.4702,22.6911,15845412
1/20/2021,22.8016,22.9212,22.5346,22.8384,13756215
1/21/2021,22.7003,22.7187,21.8995,22.1112,11676286
1/22/2021,21.5865,22.0283,21.4852,21.9731,15190301
1/25/2021,21.3195,21.384,20.9513,21.2367,17184261
1/26/2021,21.43,21.5957,21.1722,21.1999,12193577
1/27/2021,20.9605,21.4576,20.6291,20.9237,14186458
1/28/2021,21.0342,21.3333,20.8593,21.0434,11079126
1/29/2021,20.7488,20.8885,20.2977,20.4542,12168098
2/1/2021,20.5187,20.5877,20.0906,20.445,19566073
