symbol,name,currency,stockExchange,exchangeShortName
ATBUSD,ATBCoin USD,USD,CCC,CRYPTO
NEOUSD,Neo USD,USD,CCC,CRYPTO
SOLOUSD,Sologenic USD,USD,CCC,CRYPTO
ARUSD,Arweave USD,USD,CCC,CRYPTO
BCAUSD,BitcoinAtom USD,USD,CCC,CRYPTO
GXCUSD,GXChain USD,USD,CCC,CRYPTO
RPLUSD,Rocket Pool USD,USD,CCC,CRYPTO
IOSTUSD,IOST USD,USD,CCC,CRYPTO
FTMUSD,Fantom USD,USD,CCC,CRYPTO
REVUSD,RChain USD,USD,CCC,CRYPTO
KEEPUSD,Keep Network USD,USD,CCC,CRYPTO
RINGXUSD,RINGXPLATFORM USD,USD,CCC,CRYPTO
HTRUSD,Hathor USD,USD,CCC,CRYPTO
HBARUSD,HederaHashgraph USD,USD,CCC,CRYPTO
BESTUSD,Bitpanda Ecosystem Token USD,USD,CCC,CRYPTO
RDDUSD,ReddCoin USD,USD,CCC,CRYPTO
FIOUSD,FIOProtocol USD,USD,CCC,CRYPTO
FIDAUSD,Bonfida USD,USD,CCC,CRYPTO
KOKUSD,KOK USD,USD,CCC,CRYPTO
MASKUSD,NFTX Hashmasks Index USD,USD,CCC,CRYPTO
BFCUSD,Bit Financial USD,USD,CCC,CRYPTO
BNXUSD,BinaryX USD,USD,CCC,CRYPTO
SOVUSD,Sovryn USD,USD,CCC,CRYPTO
RGTUSD,Rari Governance Token USD,USD,CCC,CRYPTO
ORCUSD,Orbit Chain USD,USD,CCC,CRYPTO
HUMUSD,Humanscape USD,USD,CCC,CRYPTO
OUROUSD,Ouroboros USD,USD,CCC,CRYPTO
NUUSD,NuCypher USD,USD,CCC,CRYPTO
GTNUSD,GlitzKoin USD,USD,CCC,CRYPTO
TLMUSD,Alien Worlds USD,USD,CCC,CRYPTO
TABOOUSD,TABOO TOKEN USD,USD,CCC,CRYPTO
SAMOUSD,Samoyedcoin USD,USD,CCC,CRYPTO
DAOUSD,DAO Maker USD,USD,CCC,CRYPTO
FXSUSD,Frax Share USD,USD,CCC,CRYPTO
RADUSD,Radicle USD,USD,CCC,CRYPTO
DIMEUSD,Dimecoin USD,USD,CCC,CRYPTO
DACCUSD,DACC USD,USD,CCC,CRYPTO
ADKUSD,AidosKuneen USD,USD,CCC,CRYPTO
HEDGUSD,HedgeTrade USD,USD,CCC,CRYPTO
TRUUSD,Truebit USD,USD,CCC,CRYPTO
SLSUSD,SaluS USD,USD,CCC,CRYPTO
ACHUSD,Alchemy Pay USD,USD,CCC,CRYPTO
TITANUSD,TitanSwap USD,USD,CCC,CRYPTO
POLSUSD,Polkastarter USD,USD,CCC,CRYPTO
QRDOUSD,Qredo USD,USD,CCC,CRYPTO
RFOXUSD,RFOX USD,USD,CCC,CRYPTO
LINAUSD,LINA USD,USD,CCC,CRYPTO
TLOSUSD,Telos USD,USD,CCC,CRYPTO
DAWNUSD,Dawn Protocol USD,USD,CCC,CRYPTO
DVFUSD,DeversiFi USD,USD,CCC,CRYPTO
DGBUSD,DigiByte USD,USD,CCC,CRYPTO
ORNUSD,Orion Protocol USD,USD,CCC,CRYPTO
EPSUSD,Epanus USD,USD,CCC,CRYPTO
XPRUSD,Proton USD,USD,CCC,CRYPTO
RAREUSD,Unique One USD,USD,CCC,CRYPTO
DERCUSD,DeRace USD,USD,CCC,CRYPTO
TVKUSD,Terra Virtua Kolect USD,USD,CCC,CRYPTO
SOULUSD,Phantasma USD,USD,CCC,CRYPTO
ROSEUSD,OasisNetwork USD,USD,CCC,CRYPTO
C20USD,CRYPTO20 USD,USD,CCC,CRYPTO
PHAUSD,PhalaNetwork USD,USD,CCC,CRYPTO
RIFUSD,RSK Infrastructure Framework USD,USD,CCC,CRYPTO
SLPUSD,Smooth Love Potion USD,USD,CCC,CRYPTO
REQUSD,Request USD,USD,CCC,CRYPTO
PEAKUSD,PEAKDEFI USD,USD,CCC,CRYPTO
BCHUSD,Bitcoin Cash USD,USD,CCC,CRYPTO
BTGUSD,Bitcoin Gold USD,USD,CCC,CRYPTO
QKCUSD,QuarkChain USD,USD,CCC,CRYPTO
XMCUSD,MoneroClassic USD,USD,CCC,CRYPTO
VBKUSD,VeriBlock USD,USD,CCC,CRYPTO
ENJUSD,EnjinCoin USD,USD,CCC,CRYPTO
MKRUSD,Maker USD,USD,CCC,CRYPTO
MOFUSD,Molecular Future USD,USD,CCC,CRYPTO
WGRUSD,Wagerr USD,USD,CCC,CRYPTO
NOIAUSD,Syntropy USD,USD,CCC,CRYPTO
VEXUSD,Vexanium USD,USD,CCC,CRYPTO
EVERUSD,Everscale USD,USD,CCC,CRYPTO
IDEXUSD,IDEX USD,USD,CCC,CRYPTO
PZMUSD,PRIZM USD,USD,CCC,CRYPTO
SSXUSD,SOMESING USD,USD,CCC,CRYPTO
AMPLUSD,Ampleforth USD,USD,CCC,CRYPTO
HNCUSD,Helleniccoin USD,USD,CCC,CRYPTO
ALBTUSD,AllianceBlock USD,USD,CCC,CRYPTO
ARPAUSD,ARPA Chain USD,USD,CCC,CRYPTO
UMAUSD,UMA USD,USD,CCC,CRYPTO
ERNUSD,Ethernity Chain USD,USD,CCC,CRYPTO
DPIUSD,DeFi Pulse Index USD,USD,CCC,CRYPTO
CTSIUSD,Cartesi USD,USD,CCC,CRYPTO
TOMOUSD,TomoChain USD,USD,CCC,CRYPTO
GRINUSD,Grin USD,USD,CCC,CRYPTO
NULSUSD,NULS USD,USD,CCC,CRYPTO
XWCUSD,WhiteCoin USD,USD,CCC,CRYPTO
XMYUSD,Myriad USD,USD,CCC,CRYPTO
METAUSD,Metadium USD,USD,CCC,CRYPTO
OMIUSD,ECOMI USD,USD,CCC,CRYPTO
